"","Provider Name","County","State","Ownership Type","CMS Provider Number"
"46","ALAMITOS BELMONT REHAB HOSPITA","Los Angeles","CA","For profit","056125"
"47","ALCOTT REHABILITATION HOSPITAL","Los Angeles","CA","For profit","056293"
"48","ALDEN TERRACE CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056237"
"49","ALEXANDRIA CARE CENTER","Los Angeles","CA","For profit","056113"
"50","ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP","Los Angeles","CA","For profit","055760"
"51","ALHAMBRA HOSPITAL MED CTR DP/SNF","Los Angeles","CA","For profit","555850"
"52","ARARAT CONVALESCENT HOSPITAL","Los Angeles","CA","Non profit","555126"
"53","ARARAT NURSING FACILITY","Los Angeles","CA","Non profit","555579"
"54","ASTORIA NURSING AND REHAB CENTER","Los Angeles","CA","For profit","056084"
"55","AUTUMN HILLS HEALTH CARE CENTER","Los Angeles","CA","For profit","055288"
"56","BAY CREST CARE CENTER","Los Angeles","CA","For profit","055559"
"57","BEACHWOOD POST-ACUTE & REHAB","Los Angeles","CA","For profit","056334"
"58","BEACON HEALTHCARE CENTER","Los Angeles","CA","For profit","056331"
"59","BEL TOOREN VILLA CONVALESCENT","Los Angeles","CA","For profit","055918"
"60","BELL CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056218"
"61","BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER","Los Angeles","CA","For profit","056283"
"62","BONNIE BRAE CONVALESCENT HOSP","Los Angeles","CA","For profit","055538"
"63","BRENTWOOD HEALTH CARE CENTER","Los Angeles","CA","For profit","055711"
"64","BRIER OAK ON SUNSET","Los Angeles","CA","For profit","056056"
"65","BRIGHTON CARE CENTER","Los Angeles","CA","For profit","555338"
"66","BROADWAY BY THE SEA","Los Angeles","CA","For profit","055894"
"67","BROOKDALE NORTHRIDGE","Los Angeles","CA","For profit","555791"
"68","BROOKFIELD HEALTHCARE CENTER","Los Angeles","CA","For profit","056014"
"69","BUENA VENTURA  POST ACUTE CARE CENTER","Los Angeles","CA","For profit","055697"
"70","BURBANK HEALTHCARE & REHAB","Los Angeles","CA","For profit","056129"
"71","BURLINGTON CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056326"
"72","CALIFORNIA HEALTHCARE AND REHABILITATION CENTER","Los Angeles","CA","For profit","056149"
"73","CALIFORNIA POST ACUTE","Los Angeles","CA","For profit","055461"
"74","CALIFORNIA POST-ACUTE CARE","Los Angeles","CA","For profit","055052"
"75","CAMELLIA GARDENS CARE CENTER","Los Angeles","CA","For profit","056316"
"76","CANYON OAKS NURSING AND REHABILITATION CENTER","Los Angeles","CA","For profit","555822"
"77","CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST","Los Angeles","CA","For profit","056167"
"78","CENTURY VILLA, INC","Los Angeles","CA","For profit","555368"
"79","CHATSWORTH PARK HEALTH CARE CENTER","Los Angeles","CA","For profit","056351"
"80","CLEAR VIEW SANITARIUM","Los Angeles","CA","For profit","555881"
"81","COAST CARE CONVALESCENT CENTER","Los Angeles","CA","For profit","555199"
"82","COLLEGE VISTA CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","555030"
"83","COLONIAL CARE CENTER","Los Angeles","CA","For profit","056043"
"84","COLONIAL GARDENS NURSING HOME","Los Angeles","CA","For profit","555715"
"85","COMMUNITY CARE CENTER","Los Angeles","CA","For profit","05A109"
"86","COUNTRY VILLA EAST NURSING CENTER","Los Angeles","CA","For profit","056114"
"87","COUNTRY VILLA LOS FELIZ NURSING CENTER","Los Angeles","CA","For profit","056380"
"88","COUNTRY VILLA MAR VISTA NRS CT","Los Angeles","CA","For profit","555726"
"89","COUNTRY VILLA NORTH","Los Angeles","CA","For profit","056377"
"90","COUNTRY VILLA PAVILION NURSING CENTER","Los Angeles","CA","For profit","055160"
"91","COUNTRY VILLA REHABILITATION CENTER","Los Angeles","CA","For profit","555397"
"92","COUNTRY VILLA SHERATON","Los Angeles","CA","For profit","056367"
"93","COUNTRY VILLA SOUTH CONV CTR","Los Angeles","CA","For profit","055504"
"94","COUNTRY VILLA TERRACE NRSG CTR","Los Angeles","CA","For profit","055119"
"95","COUNTRY VILLA WILSHIRE CONVALESCENT CENTER","Los Angeles","CA","For profit","055710"
"96","COURTYARD CARE CENTER","Los Angeles","CA","For profit","555785"
"97","COVINA REHABILITATION CENTER","Los Angeles","CA","For profit","055449"
"98","CULVER WEST HEALTH CENTER","Los Angeles","CA","For profit","055350"
"99","DEL RIO CONVALESCENT CENTER","Los Angeles","CA","For profit","555781"
"100","DEL RIO GARDENS CARE CENTER","Los Angeles","CA","For profit","555780"
"101","DOWNEY POST ACUTE","Los Angeles","CA","For profit","055519"
"102","DRIFTWOOD HEALTHCARE CENTER","Los Angeles","CA","For profit","555114"
"103","EAST LOS ANGELES DOCTORS HOSP","Los Angeles","CA","For profit","555255"
"104","EISENBERG VILLAGE","Los Angeles","CA","Non profit","055013"
"105","EL RANCHO VISTA HEALTH CARE CENTER","Los Angeles","CA","For profit","555112"
"106","EMERALD TERRACE CONV HOSPITAL","Los Angeles","CA","For profit","056157"
"107","FLOWER VILLA, INC","Los Angeles","CA","For profit","056438"
"108","FOOTHILL HEIGHTS CARE CENTER","Los Angeles","CA","For profit","555894"
"109","FOUNTAIN VIEW SUBACUTE AND NURSING CENTER","Los Angeles","CA","For profit","055111"
"110","FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP","Los Angeles","CA","For profit","055932"
"111","GARDEN CREST REHABILITATION CENTER","Los Angeles","CA","For profit","055161"
"112","GARDENA CONVALESCENT CENTER","Los Angeles","CA","For profit","056019"
"113","GEM TRANSITIONAL","Los Angeles","CA","For profit","055341"
"114","GLENDALE HEALTHCARE CENTER","Los Angeles","CA","For profit","555609"
"115","GLENDALE POST ACUTE CENTER","Los Angeles","CA","For profit","055523"
"116","GLENHAVEN HEALTHCARE","Los Angeles","CA","For profit","555605"
"117","GLENOAKS CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056317"
"118","GOLDEN CROSS HEALTH CARE","Los Angeles","CA","For profit","555096"
"119","GOLDEN LEGACY CARE CENTER","Los Angeles","CA","For profit","555814"
"120","GRANADA POST ACUTE","Los Angeles","CA","For profit","555348"
"121","GRANCELL VILLAGE OF THE JEWISH HOMES FOR THE AGING","Los Angeles","CA","Non profit","555137"
"122","GRAND PARK CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056244"
"123","GREATER EL MONTE COMMUNITY HOS","Los Angeles","CA","For profit","555634"
"124","HARBOR POST ACUTE CARE CENTER","Los Angeles","CA","For profit","056192"
"125","HAWTHORNE HEALTHCARE & WELLNESS CENTRE, LP","Los Angeles","CA","For profit","555677"
"126","HERITAGE REHABILITATION CENTER","Los Angeles","CA","For profit","056308"
"127","HIGH VALLEY LODGE","Los Angeles","CA","For profit","055856"
"128","HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER","Los Angeles","CA","For profit","555165"
"129","HOLIDAY MANOR CARE CENTER","Los Angeles","CA","For profit","555578"
"130","HOLLENBECK PALMS","Los Angeles","CA","Non profit","055115"
"131","HOLLYWOOD PREMIER HEALTHCARE CENTER","Los Angeles","CA","For profit","056489"
"132","HUNTINGTON HEALTHCARE CENTER","Los Angeles","CA","For profit","555865"
"133","HUNTINGTON POST ACUTE","Los Angeles","CA","For profit","056080"
"134","IMPERIAL CREST HEALTH CARE CENTER","Los Angeles","CA","For profit","555719"
"135","IMPERIAL HEALTHCARE CENTER","Los Angeles","CA","For profit","056115"
"136","INFINITY CARE OF EAST LOS ANGELES","Los Angeles","CA","For profit","056063"
"137","INGLEWOOD HEALTH CARE CENTER","Los Angeles","CA","For profit","055526"
"138","JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF","Los Angeles","CA","Non profit","555846"
"139","KEI-AI LOS ANGELES HEALTHCARE CENTER","Los Angeles","CA","For profit","555438"
"140","KEI-AI SOUTH BAY HEALTHCARE CENTER","Los Angeles","CA","For profit","555306"
"141","KENNEDY POST ACUTE CARE CENTER","Los Angeles","CA","For profit","055977"
"142","KINGSLEY MANOR CARE CENTER","Los Angeles","CA","Non profit","555086"
"143","LA BREA REHABILITATION CENTER","Los Angeles","CA","For profit","056195"
"144","LA CRESCENTA HEALTHCARE CENTER","Los Angeles","CA","For profit","055960"
"145","LA PAZ GEROPSYCHIATRIC CENTER","Los Angeles","CA","For profit","05A355"
"146","LAKE BALBOA CARE CENTER","Los Angeles","CA","For profit","056180"
"147","LAKEVIEW TERRACE","Los Angeles","CA","For profit","056078"
"148","LANDMARK MEDICAL CENTER","Los Angeles","CA","For profit","05A134"
"149","LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC","Los Angeles","CA","For profit","555816"
"150","LEGACY HEALTHCARE CENTER","Los Angeles","CA","For profit","555893"
"151","LEISURE GLEN POST ACUTE CARE CENTER","Los Angeles","CA","For profit","055845"
"152","LIGHTHOUSE  HEALTHCARE CENTER","Los Angeles","CA","For profit","056478"
"153","LITTLE SISTERS OF THE POOR","Los Angeles","CA","Non profit","05A331"
"154","LONG BEACH HEALTHCARE CENTER","Los Angeles","CA","For profit","055364"
"155","LONGWOOD MANOR CONV.HOSPITAL","Los Angeles","CA","For profit","055753"
"156","LYNWOOD HEALTHCARE CENTER","Los Angeles","CA","For profit","056415"
"157","MACLAY HEALTHCARE CENTER","Los Angeles","CA","For profit","555583"
"158","MAPLE HEALTHCARE CENTER","Los Angeles","CA","For profit","055036"
"159","MARINA POINTE HEALTHCARE & SUBACUTE","Los Angeles","CA","For profit","555340"
"160","MAYFLOWER CARE CENTER","Los Angeles","CA","For profit","555374"
"161","MAYFLOWER GARDENS CONVALESCENT HOSPITAL","Los Angeles","CA","Non profit","056286"
"162","MAYWOOD SKILLED NURSING & WELLNESS CENTRE","Los Angeles","CA","For profit","555130"
"163","MID-WILSHIRE HEALTH CARE CNTR","Los Angeles","CA","For profit","056174"
"164","MONROVIA GARDENS HEALTHCARE CENTER","Los Angeles","CA","For profit","055367"
"165","MONTE VISTA HEALTHCARE CENTER","Los Angeles","CA","For profit","055817"
"166","MONTEBELLO CARE CENTER","Los Angeles","CA","For profit","055153"
"167","MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP","Los Angeles","CA","For profit","055163"
"168","MONTROSE HEALTHCARE CENTER","Los Angeles","CA","For profit","055135"
"169","MOTION PICTURE AND T.V. HOSP D/P SNF","Los Angeles","CA","Non profit","055034"
"170","NEW VISTA NURSING AND REHABILITATION CENTER","Los Angeles","CA","For profit","056031"
"171","NORTHRIDGE CARE CENTER","Los Angeles","CA","For profit","056412"
"172","NORWALK MEADOWS NURSING CENTER","Los Angeles","CA","For profit","055297"
"173","NORWALK SKILLED NURSING & WELLNESS CENTRE, LLC","Los Angeles","CA","For profit","555668"
"174","OAKPARK HEALTHCARE CENTER","Los Angeles","CA","For profit","055360"
"175","OLYMPIA CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","056321"
"176","OSAGE HEALTHCARE & WELLNESS CENTRE","Los Angeles","CA","For profit","056143"
"177","PACIFIC PALMS HEALTHCARE","Los Angeles","CA","For profit","056164"
"178","PACIFIC VILLA, INC","Los Angeles","CA","For profit","056313"
"179","PALAZZO POST ACUTE","Los Angeles","CA","For profit","056456"
"180","PASADENA GROVE HEALTH CARE","Los Angeles","CA","For profit","055617"
"181","PASADENA PARK HEALTHCARE AND WELLNESS CENTER","Los Angeles","CA","For profit","055548"
"182","PLAYA DEL REY CENTER","Los Angeles","CA","For profit","555004"
"183","PRESBYTERIAN INTERCOMM HOSP DP/SNF","Los Angeles","CA","Non profit","555654"
"184","PRIMROSE POST-ACUTE","Los Angeles","CA","For profit","055608"
"185","PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR","Los Angeles","CA","Non profit","056499"
"186","PROVIDENCE LITTLE COMP OF MARY SUBACUTE CARE CTR","Los Angeles","CA","Non profit","555848"
"187","RAMONA NURSING & REHABILITATION CENTER","Los Angeles","CA","For profit","055141"
"188","RINALDI CONVALESCENT HOSPITAL","Los Angeles","CA","For profit","055906"
"189","RIO HONDO SUBACUTE &  NURSING CENTER","Los Angeles","CA","For profit","056487"
"190","RIVIERA HEALTHCARE CENTER","Los Angeles","CA","For profit","055045"
"191","ROSE GARDEN HEALTHCARE CENTER","Los Angeles","CA","For profit","055862"
"192","ROSE VILLA HEALTH CARE CENTER","Los Angeles","CA","For profit","056104"
"193","ROYAL CARE SKILLED NURSING CTR","Los Angeles","CA","For profit","055041"
"194","ROYAL CREST HEALTH CARE","Los Angeles","CA","For profit","055544"
"195","ROYAL GARDENS HEALTHCARE","Los Angeles","CA","For profit","055818"
"196","ROYAL PALMS POST ACUTE","Los Angeles","CA","For profit","055899"
"197","ROYALWOOD CARE CENTER","Los Angeles","CA","For profit","055531"
"198","SANTA ANITA CONVALESCENT HOSP","Los Angeles","CA","For profit","055293"
"199","SANTA TERESITA MANOR","Los Angeles","CA","Non profit","055139"
"200","SEAPORT 17TH CARE CENTER","Los Angeles","CA","For profit","055155"
"201","SHADOW HILLS CONV. HOSPITAL","Los Angeles","CA","For profit","555045"
"202","SHARON CARE CENTER","Los Angeles","CA","For profit","055755"
"203","SHERMAN OAKS HEALTH & REHAB","Los Angeles","CA","For profit","056250"
"204","SOCAL POST-ACUTE CARE","Los Angeles","CA","For profit","055168"
"205","SOLHEIM SENIOR COMMUNITY","Los Angeles","CA","Non profit","555432"
"206","SOUTH PASADENA CARE CENTER","Los Angeles","CA","For profit","555908"
"207","SOUTHLAND","Los Angeles","CA","For profit","555070"
"208","STONEY POINT HEALTHCARE CENTER","Los Angeles","CA","For profit","555574"
"209","STUDIO CITY REHABILITATION CENTER","Los Angeles","CA","For profit","555686"
"210","SUNNYSIDE NURSING CENTER","Los Angeles","CA","Non profit","056488"
"211","SUNNYVIEW CARE CENTER","Los Angeles","CA","For profit","555071"
"212","SUNRAY HEALTHCARE CENTER","Los Angeles","CA","For profit","055870"
"213","SUNSET MANOR CONV HOSP","Los Angeles","CA","For profit","055104"
"214","SYLMAR HLTH REHAB CTR","Los Angeles","CA","For profit","05A397"
"215","THE CALIFORNIAN-PASADENA","Los Angeles","CA","For profit","055480"
"216","THE CARE CENTER ON HAZELTINE, LLC","Los Angeles","CA","For profit","555519"
"217","THE EARLWOOD","Los Angeles","CA","For profit","055032"
"218","THE ELLISON JOHN TRANSITIONAL CARE CENTER","Los Angeles","CA","For profit","555904"
"219","THE GARDENS OF EL MONTE","Los Angeles","CA","For profit","555903"
"220","THE GROVE POST-ACUTE CARE CENTER","Los Angeles","CA","For profit","056382"
"221","THE MEADOWS POST ACUTE","Los Angeles","CA","For profit","056137"
"222","THE ORCHARD - POST ACUTE CARE","Los Angeles","CA","For profit","055706"
"223","THE REHABILITATION CENTER OF SANTA MONICA","Los Angeles","CA","For profit","555808"
"224","THE REHABILITATION CENTRE OF BEVERLY HILLS","Los Angeles","CA","For profit","555700"
"225","TORRANCE CARE CENTER WEST, INC","Los Angeles","CA","For profit","055952"
"226","UNIVERSITY PARK HEALTHCARE CENTER","Los Angeles","CA","For profit","056206"
"227","VALLEY PALMS CARE CENTER","Los Angeles","CA","For profit","055287"
"228","VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC","Los Angeles","CA","For profit","555132"
"229","VERDUGO VALLEY SKILLED NURSING & WELLNESS CT","Los Angeles","CA","For profit","056322"
"230","VERNON HEALTHCARE CENTER","Los Angeles","CA","For profit","055167"
"231","VIEW HEIGHTS CONV HOSP","Los Angeles","CA","For profit","056417"
"232","VIRGIL REHABILITATION & SKILLED NURSING CENTER","Los Angeles","CA","For profit","055157"
"233","WEST HILLS HEALTH & REHAB CENTER","Los Angeles","CA","For profit","056133"
"234","WEST VALLEY POST ACUTE","Los Angeles","CA","For profit","055443"
"235","WESTERN CONV. HOSPITAL","Los Angeles","CA","For profit","555069"
"236","WHITTIER HILLS HEALTH CARE CTR","Los Angeles","CA","For profit","055430"
"237","WINDSOR CARE CENTER OF CHEVIOT HILLS","Los Angeles","CA","For profit","056451"
"238","WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH","Los Angeles","CA","For profit","555375"
"239","WINDSOR TERRACE HEALTH CARE","Los Angeles","CA","For profit","555738"
"240","WOODLAND CARE CENTER","Los Angeles","CA","For profit","056066"
"241","PINE RIDGE CARE CENTER","Marin","CA","For profit","055850"
"242","WINDSOR THE RIDGE REHABILITATION CENTER","Monterey","CA","For profit","555060"
"243","ADVANCED REHAB CENTER OF TUSTIN","Orange","CA","For profit","055330"
"244","ALAMITOS WEST HEALTH & REHABILITATION","Orange","CA","For profit","056169"
"245","ANAHEIM HEALTHCARE CENTER, LLC","Orange","CA","For profit","055984"
"246","FLAGSHIP HEALTHCARE CENTER","Orange","CA","For profit","055121"
"247","GARDEN GROVE POST ACUTE","Orange","CA","For profit","056145"
"248","HUNTINGTON VALLEY HEALTHCARE CENTER","Orange","CA","For profit","055888"
"249","LA HABRA CONVALESCENT HOSPITAL","Orange","CA","For profit","055622"
"250","LA PALMA NURSING CENTER","Orange","CA","For profit","555329"
"251","LEISURE COURT NURSING CENTER","Orange","CA","For profit","555520"
"252","MAINPLACE POST ACUTE","Orange","CA","For profit","555259"
"253","MESA VERDE POST ACUTE CARE CENTER","Orange","CA","For profit","056362"
"254","PARK REGENCY CARE CENTER","Orange","CA","For profit","555536"
"255","PARKVIEW HEALTHCARE CENTER","Orange","CA","For profit","055671"
"256","SEA CLIFF HEALTHCARE CENTER","Orange","CA","For profit","555249"
"257","WEST ANAHEIM EXTENDED CARE","Orange","CA","For profit","555388"
"258","WINDSOR GARDENS CARE CENTER OF FULLERTON","Orange","CA","For profit","055689"
"259","WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM","Orange","CA","For profit","555688"
"260","ROCK CREEK CARE CENTER","Placer","CA","For profit","055446"
"261","ALTA VISTA HEALTHCARE & WELLNESS CENTRE","Riverside","CA","For profit","055042"
"262","ARLINGTON GARDENS CARE CENTER","Riverside","CA","For profit","056485"
"263","COMMUNITY CARE AND REHABILITATION CENTER","Riverside","CA","For profit","055409"
"264","COMMUNITY CARE ON PALM","Riverside","CA","For profit","555711"
"265","CORONA HEALTH CARE CENTER","Riverside","CA","For profit","055255"
"266","CYPRESS GARDENS CARE CENTER","Riverside","CA","For profit","056315"
"267","DESERT REGIONAL MEDICAL CENTER D/P SNF","Riverside","CA","For profit","555417"
"268","DEVONSHIRE CARE CENTER","Riverside","CA","For profit","056095"
"269","EXTENDED CARE HOSPITAL OF RIVERSIDE","Riverside","CA","For profit","056162"
"270","HIGHLAND SPRINGS CARE CENTER","Riverside","CA","For profit","555135"
"271","INDIO NURSING AND REHABILITATION CENTER","Riverside","CA","For profit","555742"
"272","JURUPA HILLS POST ACUTE","Riverside","CA","For profit","055581"
"273","MAGNOLIA REHABILITATION  & NURSING  CENTER","Riverside","CA","For profit","055474"
"274","MANORCARE HEALTH SERVICES-HEMET","Riverside","CA","Non profit","555297"
"275","MANORCARE HEALTH SERVICES-PALM DESERT","Riverside","CA","Non profit","555339"
"276","MISSION CARE CENTER","Riverside","CA","For profit","055542"
"277","RAMONA REHABILITATION AND POST ACUTE CARE CENTER","Riverside","CA","For profit","056214"
"278","RANCHO MIRAGE HEALTH AND REHABILITATION CENTER","Riverside","CA","For profit","555247"
"279","RIVERSIDE POSTACUTE CARE","Riverside","CA","For profit","555330"
"280","RIVERWALK POST ACUTE","Riverside","CA","For profit","555017"
"281","THE GROVE CARE AND WELLNESS","Riverside","CA","For profit","555613"
"282","THE VILLAGE HEALTHCARE CENTER","Riverside","CA","For profit","555463"
"283","VALENCIA GARDENS HEALTH CARE CENTER","Riverside","CA","For profit","555331"
"284","VILLA HEALTH CARE CENTER","Riverside","CA","For profit","555353"
"285","VISTA PACIFICA CONVALESCENT HOSPITAL","Riverside","CA","For profit","055361"
"286","ACC CARE CENTER","Sacramento","CA","Non profit","555261"
"287","CASA COLOMA HEALTH CARE CENTER","Sacramento","CA","For profit","056495"
"288","ESKATON CARE CENTER GREENHAVEN","Sacramento","CA","Non profit","555098"
"289","ESKATON CARE CENTER MANZANITA","Sacramento","CA","Non profit","555083"
"290","MANORCARE HEALTH SERVICES (CITRUS HEIGHTS)","Sacramento","CA","Non profit","555337"
"291","MID-TOWN OAKS POST-ACUTE","Sacramento","CA","For profit","055493"
"292","WINDSOR EL CAMINO CARE CENTER","Sacramento","CA","For profit","055402"
"293","WINDSOR ELK GROVE CARE AND REHABILITATION CENTER","Sacramento","CA","For profit","055308"
"294","APPLE VALLEY POST ACUTE CENTER","San Bernardino","CA","For profit","555476"
"295","ASISTENCIA VILLA REHABILITATION AND CARE CENTER","San Bernardino","CA","For profit","555379"
"296","CALIMESA POST ACUTE","San Bernardino","CA","For profit","056365"
"297","CEDAR MOUNTAIN POST ACUTE","San Bernardino","CA","For profit","555494"
"298","COMM. HOSP. OF SAN BERNARDINO DP SNF","San Bernardino","CA","Non profit","555522"
"299","COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO","San Bernardino","CA","Non profit","056107"
"300","COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR","San Bernardino","CA","For profit","056444"
"301","HERITAGE GARDENS HEALTH CARE CENTER","San Bernardino","CA","For profit","055183"
"302","HI-DESERT MEDICAL CENTER D/P SNF","San Bernardino","CA","For profit","555443"
"303","INLAND CHRISTIAN HOME","San Bernardino","CA","Non profit","555108"
"304","LAS COLINAS POST ACUTE","San Bernardino","CA","For profit","055619"
"305","LAUREL CONVALESCENT HOSPITAL","San Bernardino","CA","For profit","056429"
"306","MEADOWS RIDGE CARE CENTER","San Bernardino","CA","For profit","555089"
"307","ONTARIO HEALTHCARE CENTER","San Bernardino","CA","For profit","055707"
"308","PLYMOUTH VILLAGE","San Bernardino","CA","Non profit","055914"
"309","RECHE CANYON REGIONAL REHAB CENTER","San Bernardino","CA","For profit","555435"
"310","SPRING VALLEY POST ACUTE LLC","San Bernardino","CA","For profit","055076"
"311","TERRACINA POST ACUTE","San Bernardino","CA","For profit","555350"
"312","TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF","San Bernardino","CA","For profit","555587"
"313","VILLA MESA CARE CENTER","San Bernardino","CA","For profit","056136"
"314","AVOCADO POST ACUTE","San Diego","CA","For profit","555076"
"315","BALBOA NURSING & REHABILITATION CENTER","San Diego","CA","For profit","056105"
"316","BOULDER CREEK POST ACUTE","San Diego","CA","For profit","555206"
"317","COUNTRY HILLS POST ACUTE","San Diego","CA","For profit","555431"
"318","EDGEMOOR HOSPITAL","San Diego","CA","Government","055008"
"319","LA MESA HEALTHCARE CENTER","San Diego","CA","For profit","055488"
"320","LEMON GROVE CARE AND REHABILITATION CENTER","San Diego","CA","For profit","055182"
"321","SAN DIEGO POST-ACUTE CENTER","San Diego","CA","For profit","555659"
"322","THE BRADLEY COURT","San Diego","CA","For profit","555140"
"323","THE SHORES POST-ACUTE","San Diego","CA","For profit","555585"
"324","THE SPRINGS AT PACIFIC REGENT","San Diego","CA","For profit","555739"
"325","VALLE VISTA CONVALESCENT HOSPITAL","San Diego","CA","For profit","055500"
"326","VICTORIA POST ACUTE CARE","San Diego","CA","For profit","555804"
"327","VILLA RANCHO BERNARDO CARE CENTER","San Diego","CA","For profit","555318"
"328","WINDSOR GARDENS CONV CENTER OF SAN DIEGO","San Diego","CA","For profit","055954"
"329","CENTRAL GARDENS POST ACUTE","San Francisco","CA","For profit","055280"
"330","HERITAGE ON THE MARINA","San Francisco","CA","Non profit","555888"
"331","JEWISH HOME & REHAB CENTER D/P SNF","San Francisco","CA","Non profit","055169"
"332","LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF","San Francisco","CA","Government","555020"
"333","LAUREL HEIGHTS COMMUNITY CARE","San Francisco","CA","For profit","555869"
