provnum,def_count,provname,county,state,ownership_type
055523,1,GLENDALE POST ACUTE CENTER,Los Angeles,CA,For profit
055526,3,INGLEWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit
055531,3,ROYALWOOD CARE CENTER,Los Angeles,CA,For profit
055538,2,BONNIE BRAE CONVALESCENT HOSP,Los Angeles,CA,For profit
055542,0,MISSION CARE CENTER,Riverside,CA,For profit
055544,2,ROYAL CREST HEALTH CARE,Los Angeles,CA,For profit
055548,1,PASADENA PARK HEALTHCARE AND WELLNESS CENTER,Los Angeles,CA,For profit
055559,1,BAY CREST CARE CENTER,Los Angeles,CA,For profit
055581,3,JURUPA HILLS POST ACUTE,Riverside,CA,For profit
055604,4,REDWOOD SPRINGS HEALTHCARE CENTER,Tulare,CA,For profit
055608,4,PRIMROSE POST-ACUTE,Los Angeles,CA,For profit
055617,3,PASADENA GROVE HEALTH CARE,Los Angeles,CA,For profit
055619,2,LAS COLINAS POST ACUTE,San Bernardino,CA,For profit
055622,2,LA HABRA CONVALESCENT HOSPITAL,Orange,CA,For profit
055671,1,PARKVIEW HEALTHCARE CENTER,Orange,CA,For profit
055689,3,WINDSOR GARDENS CARE CENTER OF FULLERTON,Orange,CA,For profit
055697,1,BUENA VENTURA  POST ACUTE CARE CENTER,Los Angeles,CA,For profit
055706,3,THE ORCHARD - POST ACUTE CARE,Los Angeles,CA,For profit
055707,2,ONTARIO HEALTHCARE CENTER,San Bernardino,CA,For profit
055710,1,COUNTRY VILLA WILSHIRE CONVALESCENT CENTER,Los Angeles,CA,For profit
055711,1,BRENTWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit
055750,5,AMBERWOOD GARDENS,Santa Clara,CA,For profit
055753,3,LONGWOOD MANOR CONV.HOSPITAL,Los Angeles,CA,For profit
055755,4,SHARON CARE CENTER,Los Angeles,CA,For profit
055760,0,"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit
055775,1,"ORINDA CARE CENTER, LLC",Contra Costa,CA,For profit
055798,1,VASONA CREEK HEALTHCARE CENTER,Santa Clara,CA,For profit
055817,3,MONTE VISTA HEALTHCARE CENTER,Los Angeles,CA,For profit
055818,2,ROYAL GARDENS HEALTHCARE,Los Angeles,CA,For profit
055833,0,"FULTON GARDENS POST ACUTE, LLC",San Joaquin,CA,For profit
055845,4,LEISURE GLEN POST ACUTE CARE CENTER,Los Angeles,CA,For profit
055846,1,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,Fresno,CA,Non profit
055850,3,PINE RIDGE CARE CENTER,Marin,CA,For profit
055856,1,HIGH VALLEY LODGE,Los Angeles,CA,For profit
055862,3,ROSE GARDEN HEALTHCARE CENTER,Los Angeles,CA,For profit
055870,2,SUNRAY HEALTHCARE CENTER,Los Angeles,CA,For profit
055888,3,HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit
055894,4,BROADWAY BY THE SEA,Los Angeles,CA,For profit
055899,3,ROYAL PALMS POST ACUTE,Los Angeles,CA,For profit
055906,2,RINALDI CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
055914,2,PLYMOUTH VILLAGE,San Bernardino,CA,Non profit
055917,3,ST JUDE CARE CENTER,San Joaquin,CA,For profit
055918,3,BEL TOOREN VILLA CONVALESCENT,Los Angeles,CA,For profit
055919,0,APPLE VALLEY POST-ACUTE REHAB,Sonoma,CA,For profit
055932,1,"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",Los Angeles,CA,For profit
055952,4,"TORRANCE CARE CENTER WEST, INC",Los Angeles,CA,For profit
055954,4,WINDSOR GARDENS CONV CENTER OF SAN DIEGO,San Diego,CA,For profit
055960,4,LA CRESCENTA HEALTHCARE CENTER,Los Angeles,CA,For profit
055977,3,KENNEDY POST ACUTE CARE CENTER,Los Angeles,CA,For profit
055984,2,"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit
056014,2,BROOKFIELD HEALTHCARE CENTER,Los Angeles,CA,For profit
056019,2,GARDENA CONVALESCENT CENTER,Los Angeles,CA,For profit
056031,2,NEW VISTA NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit
056043,2,COLONIAL CARE CENTER,Los Angeles,CA,For profit
056052,3,PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit
056056,2,BRIER OAK ON SUNSET,Los Angeles,CA,For profit
056063,1,INFINITY CARE OF EAST LOS ANGELES,Los Angeles,CA,For profit
056066,2,WOODLAND CARE CENTER,Los Angeles,CA,For profit
056069,4,VALLEY HOUSE REHABILITATION CENTER,Santa Clara,CA,For profit
056078,7,LAKEVIEW TERRACE,Los Angeles,CA,For profit
056080,2,HUNTINGTON POST ACUTE,Los Angeles,CA,For profit
056082,2,CANYON SPRINGS POST-ACUTE,Santa Clara,CA,For profit
056084,3,ASTORIA NURSING AND REHAB CENTER,Los Angeles,CA,For profit
056095,1,DEVONSHIRE CARE CENTER,Riverside,CA,For profit
056104,0,ROSE VILLA HEALTH CARE CENTER,Los Angeles,CA,For profit
056105,0,BALBOA NURSING & REHABILITATION CENTER,San Diego,CA,For profit
056107,2,COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,San Bernardino,CA,Non profit
056113,3,ALEXANDRIA CARE CENTER,Los Angeles,CA,For profit
056114,3,COUNTRY VILLA EAST NURSING CENTER,Los Angeles,CA,For profit
056115,1,IMPERIAL HEALTHCARE CENTER,Los Angeles,CA,For profit
056116,3,LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,Santa Clara,CA,For profit
056121,2,WASHINGTON CENTER,Alameda,CA,For profit
056125,2,ALAMITOS BELMONT REHAB HOSPITA,Los Angeles,CA,For profit
056129,5,BURBANK HEALTHCARE & REHAB,Los Angeles,CA,For profit
056133,1,WEST HILLS HEALTH & REHAB CENTER,Los Angeles,CA,For profit
056136,3,VILLA MESA CARE CENTER,San Bernardino,CA,For profit
056137,3,THE MEADOWS POST ACUTE,Los Angeles,CA,For profit
056138,1,STOLLWOOD CONVALESCENT HOSPITAL,Yolo,CA,Non profit
056143,3,OSAGE HEALTHCARE & WELLNESS CENTRE,Los Angeles,CA,For profit
056145,2,GARDEN GROVE POST ACUTE,Orange,CA,For profit
056149,3,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,Los Angeles,CA,For profit
056157,1,EMERALD TERRACE CONV HOSPITAL,Los Angeles,CA,For profit
056162,1,EXTENDED CARE HOSPITAL OF RIVERSIDE,Riverside,CA,For profit
056164,3,PACIFIC PALMS HEALTHCARE,Los Angeles,CA,For profit
056166,2,AFFINITY HEALTHCARE CENTER,Los Angeles,CA,For profit
056167,2,CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST,Los Angeles,CA,For profit
056169,0,ALAMITOS WEST HEALTH & REHABILITATION,Orange,CA,For profit
056170,0,EXCELL HEALTH CARE CENTER,Alameda,CA,For profit
056174,3,MID-WILSHIRE HEALTH CARE CNTR,Los Angeles,CA,For profit
056180,0,LAKE BALBOA CARE CENTER,Los Angeles,CA,For profit
056192,3,HARBOR POST ACUTE CARE CENTER,Los Angeles,CA,For profit
056195,3,LA BREA REHABILITATION CENTER,Los Angeles,CA,For profit
056203,2,TUNNELL SKILLED NURSING & REHABILITATION CENTER,San Francisco,CA,For profit
056205,0,PACIFICA NURSING AND REHAB CENTER,San Mateo,CA,For profit
056206,4,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit
056214,1,RAMONA REHABILITATION AND POST ACUTE CARE CENTER,Riverside,CA,For profit
056218,2,BELL CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056237,1,ALDEN TERRACE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056238,2,WINDSOR VALLEJO NURSING & REHABILITATION CENTER,Solano,CA,For profit
056244,2,GRAND PARK CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056250,1,SHERMAN OAKS HEALTH & REHAB,Los Angeles,CA,For profit
056272,3,SAN FRANCISCO HEALTH CARE,San Francisco,CA,For profit
056280,1,WINDSOR HEALTHCARE CENTER OF OAKLAND,Alameda,CA,For profit
056283,2,BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,Los Angeles,CA,For profit
056286,2,MAYFLOWER GARDENS CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit
056293,0,ALCOTT REHABILITATION HOSPITAL,Los Angeles,CA,For profit
056294,6,SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,Kern,CA,For profit
056308,2,HERITAGE REHABILITATION CENTER,Los Angeles,CA,For profit
056313,2,"PACIFIC VILLA, INC",Los Angeles,CA,For profit
056315,1,CYPRESS GARDENS CARE CENTER,Riverside,CA,For profit
056316,4,CAMELLIA GARDENS CARE CENTER,Los Angeles,CA,For profit
056317,4,GLENOAKS CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056321,3,OLYMPIA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056322,2,VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit
056326,3,BURLINGTON CONVALESCENT HOSPITAL,Los Angeles,CA,For profit
056331,4,BEACON HEALTHCARE CENTER,Los Angeles,CA,For profit
056334,6,BEACHWOOD POST-ACUTE & REHAB,Los Angeles,CA,For profit
056345,3,SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit
056351,0,CHATSWORTH PARK HEALTH CARE CENTER,Los Angeles,CA,For profit
056362,3,MESA VERDE POST ACUTE CARE CENTER,Orange,CA,For profit
056365,2,CALIMESA POST ACUTE,San Bernardino,CA,For profit
056367,2,COUNTRY VILLA SHERATON,Los Angeles,CA,For profit
056376,4,A GRACE SUB ACUTE & SKILLED CARE,Santa Clara,CA,For profit
056377,3,COUNTRY VILLA NORTH,Los Angeles,CA,For profit
056380,5,COUNTRY VILLA LOS FELIZ NURSING CENTER,Los Angeles,CA,For profit
056382,2,THE GROVE POST-ACUTE CARE CENTER,Los Angeles,CA,For profit
056394,2,ST. FRANCIS CONVALESCENT PAVILION,San Mateo,CA,For profit
056412,4,NORTHRIDGE CARE CENTER,Los Angeles,CA,For profit
056415,2,LYNWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit
056417,2,VIEW HEIGHTS CONV HOSP,Los Angeles,CA,For profit
056429,2,LAUREL CONVALESCENT HOSPITAL,San Bernardino,CA,For profit
056438,3,"FLOWER VILLA, INC",Los Angeles,CA,For profit
056444,2,COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,San Bernardino,CA,For profit
056451,2,WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit
056456,2,PALAZZO POST ACUTE,Los Angeles,CA,For profit
056463,2,GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit
056478,2,LIGHTHOUSE  HEALTHCARE CENTER,Los Angeles,CA,For profit
056485,2,ARLINGTON GARDENS CARE CENTER,Riverside,CA,For profit
056487,4,RIO HONDO SUBACUTE &  NURSING CENTER,Los Angeles,CA,For profit
056488,4,SUNNYSIDE NURSING CENTER,Los Angeles,CA,Non profit
056489,4,HOLLYWOOD PREMIER HEALTHCARE CENTER,Los Angeles,CA,For profit
056495,3,CASA COLOMA HEALTH CARE CENTER,Sacramento,CA,For profit
056499,3,PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,Los Angeles,CA,Non profit
05A109,1,COMMUNITY CARE CENTER,Los Angeles,CA,For profit
05A134,1,LANDMARK MEDICAL CENTER,Los Angeles,CA,For profit
05A290,1,ST. ANNE'S HOME,San Francisco,CA,Non profit
05A331,1,LITTLE SISTERS OF THE POOR,Los Angeles,CA,Non profit
05A355,3,LA PAZ GEROPSYCHIATRIC CENTER,Los Angeles,CA,For profit
05A396,0,GARFIELD NEUROBEHAVIORAL CENTER,Alameda,CA,For profit
05A397,3,SYLMAR HLTH REHAB CTR,Los Angeles,CA,For profit
065001,3,LOWRY HILLS CARE AND REHABILITATION,Adams,CO,For profit
065009,1,ST PAUL HEALTH CENTER,Denver,CO,For profit
065015,3,MOUNTAIN VISTA HEALTH CENTER,Jefferson,CO,Non profit
065034,2,AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
065052,1,MESA VISTA OF BOULDER,Boulder,CO,For profit
065095,1,GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,Weld,CO,Non profit
065097,0,MAPLETON CARE CENTER,Jefferson,CO,For profit
065120,1,CLEAR CREEK CARE CENTER,Adams,CO,For profit
065124,1,HOLLY HEIGHTS CARE CENTER,Arapahoe,CO,For profit
065129,2,NORTH SHORE HEALTH & REHAB FACILITY,Larimer,CO,For profit
065142,1,LEMAY AVENUE HEALTH AND REHABILITATION FACILITY,Larimer,CO,For profit
065144,1,GUNNISON VALLEY HEALTH SENIOR CARE CENTER,Gunnison,CO,Government
065146,2,CHERRY CREEK NURSING CENTER,Arapahoe,CO,For profit
065163,2,EBEN EZER LUTHERAN CARE CENTER,Morgan,CO,Non profit
065168,4,ASPEN LIVING CENTER,El Paso,CO,For profit
065172,0,TERRACE GARDENS HEALTHCARE CENTER,El Paso,CO,For profit
065189,4,PEAKS CARE CENTER THE,Boulder,CO,For profit
065195,1,SAN JUAN LIVING CENTER,Montrose,CO,For profit
065203,3,CHERRELYN HEALTHCARE CENTER,Arapahoe,CO,For profit
065206,1,"ROWAN COMMUNITY, INC",Denver,CO,For profit
065208,3,PEARL STREET HEALTH AND REHABILITATION CENTER,Arapahoe,CO,For profit
065211,1,"FAIRACRES MANOR, INC.",Weld,CO,For profit
065212,0,CENTENNIAL HEALTH CARE CENTER,Weld,CO,For profit
065213,1,HEALTH CENTER AT FRANKLIN PARK,Denver,CO,Non profit
065217,1,CANON LODGE CARE CENTER,Fremont,CO,For profit
065220,1,COLUMBINE MANOR CARE CENTER,Chaffee,CO,For profit
065222,5,BOULDER MANOR,Boulder,CO,For profit
065223,2,BERKLEY MANOR CARE CENTER,Arapahoe,CO,For profit
065230,2,JEWELL CARE CENTER OF DENVER,Denver,CO,For profit
065240,1,AVAMERE TRANSITIONAL CARE AND REHABILITATION,Adams,CO,For profit
065241,1,MANORCARE HEALTH SERVICES-DENVER,Denver,CO,For profit
065242,1,BROOKSHIRE HOUSE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
065246,2,"LAUREL MANOR CARE CENTER, INC",El Paso,CO,Non profit
065256,1,HIGHLINE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
065259,0,ORCHARD PARK HEALTH CARE CENTER,Arapahoe,CO,For profit
065272,0,SIERRA REHABILITATION AND CARE COMMUNITY,Jefferson,CO,For profit
065282,0,LIFE CARE CENTER OF LONGMONT,Boulder,CO,For profit
065283,0,RIDGEVIEW POST ACUTE,Adams,CO,For profit
065284,0,GRACE MANOR CARE CENTER,Kit Carson,CO,For profit
065296,1,CAMBRIDGE CARE CENTER,Jefferson,CO,For profit
065297,3,ALLISON CARE CENTER,Jefferson,CO,For profit
065299,3,PARKVIEW CARE CENTER,Denver,CO,For profit
065320,1,LITTLETON CARE AND REHABILITATION CENTER,Arapahoe,CO,For profit
065322,2,JULIA TEMPLE HEALTHCARE CENTER,Arapahoe,CO,For profit
065323,0,DENVER NORTH CARE CENTER,Denver,CO,For profit
065324,0,FRASIER MEADOWS HEALTH CARE CENTER,Boulder,CO,Non profit
065337,2,UNIVERSITY HEIGHTS REHAB AND CARE COMMUNITY,Adams,CO,For profit
065341,2,CASEY'S POND SENIOR LIVING LTC,Routt,CO,Non profit
065344,1,SUITES AT CLERMONT PARK CARE CENTER,Denver,CO,Non profit
065345,1,"SUITES AT SOMEREN GLEN CARE CENTER, THE",Arapahoe,CO,Non profit
065354,1,COLOROW HEALTH CARE LLC,Montrose,CO,For profit
065374,0,MONTAGE RIDGE,Jefferson,CO,For profit
065376,1,BROOKDALE GREENWOOD VILLAGE,Arapahoe,CO,For profit
065387,0,FOREST STREET COMPASSIONATE CARE CENTER,Denver,CO,For profit
065388,1,ST ANDREWS VILLAGE-LTC,Adams,CO,For profit
065400,1,POWERBACK REHABILITATION LAKEWOOD,Denver,CO,For profit
065404,1,SLOAN'S LAKE REHABILITATION CENTER,Denver,CO,For profit
065409,1,CONTINUING CARE AT WIND CREST,Douglas,CO,Non profit
065410,1,COLUMBINE COMMONS HEALTH AND REHAB LLC,Weld,CO,For profit
065414,1,POWERBACK REHABILITATION LAFAYETTE,Boulder,CO,For profit
065415,1,PIKES PEAK CENTER,El Paso,CO,For profit
065419,2,"CENTER AT LOWRY, LLC",Arapahoe,CO,For profit
065422,1,ACCEL AT GOLDEN RIDGE,Jefferson,CO,For profit
065431,0,"CENTER AT CENTERPLACE LLC, THE",Weld,CO,For profit
075001,1,ST JOSEPH'S CENTER,Fairfield,CT,For profit
075011,2,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",Hartford,CT,For profit
075013,2,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,Hartford,CT,For profit
075017,1,MONTOWESE HEALTH & REHABILITATION CENTER,New Haven,CT,For profit
075031,0,GLEN HILL CENTER,Fairfield,CT,For profit
075034,2,"CAROLTON CHRONIC & CONV HOSP,",Fairfield,CT,For profit
075044,3,APPLE REHAB FARMINGTON VALLEY,Hartford,CT,For profit
075047,2,"HEWITT HEALTH & REHABILITATION CENTER, INC",Fairfield,CT,For profit
075057,0,SKYVIEW REHAB AND NURSING,New Haven,CT,For profit
075060,3,SALMON BROOK REHAB AND NURSING,Hartford,CT,For profit
075061,1,CASSENA CARE AT STAMFORD,Fairfield,CT,For profit
075063,1,AVERY NURSING HOME,Hartford,CT,Non profit
075064,2,MILFORD HEALTH CARE CENTER INC,New Haven,CT,For profit
075069,1,REGALCARE AT GREENWICH,Fairfield,CT,For profit
075074,1,"FILOSA, FOR NURSING & REHABILITATION",Fairfield,CT,For profit
075082,0,HUGHES HEALTH AND REHABILITATION,Hartford,CT,For profit
075085,2,ST MARY HOME,Hartford,CT,Non profit
075089,1,APPLE REHAB MIDDLETOWN,Middlesex,CT,For profit
075096,0,"GROVE MANOR NURSING HOME, INC",New Haven,CT,For profit
075105,2,REGALCARE AT TORRINGTON,Litchfield,CT,For profit
075106,1,MIDDLESEX HEALTH CARE CENTER,Middlesex,CT,For profit
075109,2,HEBREW CENTER FOR HEALTH AND REHABILITATION,Hartford,CT,For profit
075111,1,WOLCOTT HALL NURSING CTR,Litchfield,CT,For profit
075117,0,"WITHERELL, NATHANIEL",Fairfield,CT,Government
075138,1,BLOOMFIELD HEALTH CARE CENTER,Hartford,CT,For profit
075144,1,APPLE REHAB GUILFORD,New Haven,CT,For profit
075153,0,"VILLA AT STAMFORD, THE",Fairfield,CT,For profit
075158,0,NEW LONDON SUB-ACUTE AND NURSING,New London,CT,For profit
075159,1,CASSENA CARE AT NORWALK,Fairfield,CT,For profit
075163,0,BISHOP WICKE HEALTH & REHAB CT,Fairfield,CT,Non profit
075181,2,APPLE REHAB WATERTOWN,Litchfield,CT,For profit
075182,2,GRANDVIEW REHABILITATION AND HEALTHCARE CENTER,Hartford,CT,For profit
075183,0,FOX HILL CENTER,Tolland,CT,For profit
075185,1,CASSENA CARE AT NEW BRITAIN,Hartford,CT,For profit
075195,1,PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,Hartford,CT,For profit
075196,3,HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CEN,New London,CT,For profit
075200,4,REGALCARE AT SOUTHPORT,Fairfield,CT,For profit
075201,2,REGALCARE AT WEST HAVEN,New Haven,CT,For profit
075208,1,VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,Litchfield,CT,For profit
075210,2,WATERBURY GARDENS NURSING AND REHAB,New Haven,CT,For profit
075211,0,APPLE REHAB ROCKY HILL,Hartford,CT,For profit
075213,2,GOLDEN HILL REHAB PAVILION,New Haven,CT,For profit
075214,0,"PORTLAND CARE & REHAB CENTER,",Middlesex,CT,For profit
075216,1,MCLEAN HEALTH CENTER,Hartford,CT,Non profit
075219,2,REGALCARE AT WATERBURY,New Haven,CT,For profit
075228,2,ARDEN HOUSE,New Haven,CT,For profit
075230,0,LEDGECREST HEALTH CARE,Hartford,CT,For profit
075234,1,QUINNIPIAC VALLEY CENTER,New Haven,CT,For profit
075235,2,"GUILFORD HOUSE, THE",New Haven,CT,For profit
075237,2,KIMBERLY HALL-SOUTH CENTER,Hartford,CT,For profit
075238,1,MAPLE VIEW MANOR,Hartford,CT,For profit
075240,1,GLENDALE CENTER,New Haven,CT,For profit
075246,0,WHITNEY REHABILITATION CARE CENTER,New Haven,CT,For profit
075251,1,TOUCHPOINTS AT FARMINGTON,Hartford,CT,For profit
075252,1,WESTSIDE CARE CENTER,Hartford,CT,For profit
075257,0,RIVERSIDE HEALTH & REHABILITAT,Hartford,CT,For profit
