x1,provname,county,state,ownership_type,provnum,address,city_raw,zip,survey_date_output,surveytype,defpref,category,tag,tag_desc,scope,defstat,statdate,cycle,standard,complaint,filedate,address_norm,zip5,city_clean,year,def_boolean
6,MARION REGIONAL NURSING HOME,Marion,AL,Non profit,015167,184 SASSER DRIVE,HAMILTON,35570,2017-06-29,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-08-03,3,Y,N,2020-02-01,184 SASSER DR,35570,HAMILTON,2017,1
7,CROWNE HEALTH CARE OF MOBILE,Mobile,AL,For profit,015100,954 NAVCO ROAD,MOBILE,36605,2018-08-16,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-09-20,2,Y,N,2020-02-01,954 NAVCO RD,36605,MOBILE,2018,1
8,LYNWOOD NURSING HOME,Mobile,AL,For profit,015434,4164 HALLS MILL ROAD,MOBILE,36693,2019-08-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-09-12,1,Y,N,2020-02-01,4164 HALLS ML RD,36693,MOBILE,2019,1
9,TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit,015213,515 ELBA HIGHWAY,TROY,36079,2019-10-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-11-28,1,Y,N,2020-02-01,515 ELBA HWY,36079,TROY,2019,1
9,TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit,015213,515 ELBA HIGHWAY,TROY,36079,2017-10-26,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-11-30,3,Y,N,2020-02-01,515 ELBA HWY,36079,TROY,2017,1
10,"APPLE CREEK HEALTH AND REHAB, LLC",Benton,AR,For profit,045465,,,,,,,,,,,,,,,,,,,,,0
11,WILLOWBEND HEALTHCARE AND REHABILITATION,Crittenden,AR,For profit,045412,,,,,,,,,,,,,,,,,,,,,0
12,CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit,045245,2603 DAVE WARD DRIVE,CONWAY,72034,2017-09-28,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-10-28,3,N,Y,2020-02-01,2603 DAVE WARD DR,72034,CONWAY,2017,1
12,CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit,045245,2603 DAVE WARD DRIVE,CONWAY,72034,2017-03-30,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-04-29,3,Y,N,2020-02-01,2603 DAVE WARD DR,72034,CONWAY,2017,1
13,"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit,045183,2401 CHRISTINA LANE,CONWAY,72034,2019-09-27,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-10-15,1,Y,N,2020-02-01,2401 CHRISTINA LN,72034,CONWAY,2019,1
13,"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit,045183,2401 CHRISTINA LANE,CONWAY,72034,2017-06-28,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-07-28,3,Y,N,2020-02-01,2401 CHRISTINA LN,72034,CONWAY,2017,1
14,GREENE ACRES NURSING HOME,Greene,AR,Non profit,045424,2402 COUNTRY CLUB ROAD,PARAGOULD,72450,2019-08-19,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-09-03,1,Y,N,2020-02-01,2402 COUNTRY CLB RD,72450,PARAGOULD,2019,1
14,GREENE ACRES NURSING HOME,Greene,AR,Non profit,045424,2402 COUNTRY CLUB ROAD,PARAGOULD,72450,2018-09-21,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-10-12,2,Y,N,2020-02-01,2402 COUNTRY CLB RD,72450,PARAGOULD,2018,1
15,THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,Jefferson,AR,Non profit,045379,6810 SOUTH HAZEL STREET,PINE BLUFF,71603,2018-12-14,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-01-13,2,Y,N,2020-02-01,6810 S HAZEL ST,71603,PINE BLUFF,2018,1
16,"THE WATERS OF WHITE HALL, LLC",Jefferson,AR,For profit,045372,,,,,,,,,,,,,,,,,,,,,0
17,WALNUT RIDGE NURSING AND REHABILITATION CENTER,Lawrence,AR,For profit,045151,1500 WEST MAIN STREET,WALNUT RIDGE,72476,2016-10-07,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2016-11-06,3,Y,N,2020-02-01,1500 W MAIN ST,72476,WALNUT RIDGE,2016,1
18,NEWTON COUNTY NURSING HOME,Newton,AR,Non profit,04E090,,,,,,,,,,,,,,,,,,,,,0
19,THREE RIVERS HEALTHCARE AND REHABILITATION,Poinsett,AR,For profit,045391,,,,,,,,,,,,,,,,,,,,,0
20,"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit,045410,900 WEST 12TH ST,RUSSELLVILLE,72801,2019-04-19,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-05-19,1,Y,N,2020-02-01,900 W 12 TH ST,72801,RUSSELLVILLE,2019,1
20,"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit,045410,900 WEST 12TH ST,RUSSELLVILLE,72801,2018-07-13,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-08-12,2,Y,N,2020-02-01,900 W 12 TH ST,72801,RUSSELLVILLE,2018,1
21,"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit,045387,516 SO RODNEY PARHAM RD,LITTLE ROCK,72205,2018-05-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-15,2,Y,N,2020-02-01,516 SO RODNEY PARHAM RD,72205,LITTLE ROCK,2018,1
21,"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit,045387,516 SO RODNEY PARHAM RD,LITTLE ROCK,72205,2017-05-19,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-06-12,3,Y,N,2020-02-01,516 SO RODNEY PARHAM RD,72205,LITTLE ROCK,2017,1
22,THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,Pulaski,AR,For profit,045422,103 ALEXANDRIA DRIVE,MAUMELLE,72113,2018-09-13,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-10-13,2,Y,Y,2020-02-01,103 ALEXANDRIA DR,72113,MAUMELLE,2018,1
23,OZARK HEALTH NURSING AND REHAB  CENTER,Van Buren,AR,Non profit,045414,2500 HIGHWAY 65 SOUTH,CLINTON,72031,2016-10-14,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2016-11-04,3,Y,N,2020-02-01,2500 HWY 65 S,72031,CLINTON,2016,1
24,SANTA RITA NURSING & REHABILITATION CENTER,Pima,AZ,For profit,035073,,,,,,,,,,,,,,,,,,,,,0
25,"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",Pima,AZ,For profit,035099,,,,,,,,,,,,,,,,,,,,,0
26,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,Alameda,CA,For profit,555533,,,,,,,,,,,,,,,,,,,,,0
27,EAST BAY POST-ACUTE,Alameda,CA,For profit,055239,20259 LAKE CHABOT ROAD,CASTRO VALLEY,94546,2019-08-02,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-09-02,1,Y,N,2020-02-01,20259 LK CHABOT RD,94546,CASTRO VALLEY,2019,1
28,EXCELL HEALTH CARE CENTER,Alameda,CA,For profit,056170,,,,,,,,,,,,,,,,,,,,,0
29,GARFIELD NEUROBEHAVIORAL CENTER,Alameda,CA,For profit,05A396,,,,,,,,,,,,,,,,,,,,,0
30,GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit,056463,26660 PATRICK AVENUE,HAYWARD,94544,2019-08-06,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-08-21,1,N,Y,2020-02-01,26660 PATRICK AVE,94544,HAYWARD,2019,1
30,GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit,056463,26660 PATRICK AVENUE,HAYWARD,94544,2017-03-30,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-04-30,3,Y,N,2020-02-01,26660 PATRICK AVE,94544,HAYWARD,2017,1
31,KAISER PERMANENTE POST-ACUTE CARE CENTER,Alameda,CA,Non profit,555779,1440 168TH AVENUE,SAN LEANDRO,94578,2017-08-25,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-09-22,3,Y,N,2020-02-01,1440 168 TH AVE,94578,SAN LEANDRO,2017,1
32,MERCY RETIREMENT & CARE CENTER,Alameda,CA,Non profit,555189,3431 FOOTHILL BLVD.,OAKLAND,94601,2018-01-11,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-02-11,2,Y,N,2020-02-01,3431 FOOTHILL BLVD,94601,OAKLAND,2018,1
32,MERCY RETIREMENT & CARE CENTER,Alameda,CA,Non profit,555189,3431 FOOTHILL BLVD.,OAKLAND,94601,2016-12-30,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-02-03,3,Y,N,2020-02-01,3431 FOOTHILL BLVD,94601,OAKLAND,2016,1
33,PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit,056052,27350 TAMPA AVENUE,HAYWARD,94544,2019-07-25,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-08-21,1,Y,N,2020-02-01,27350 TAMPA AVE,94544,HAYWARD,2019,1
33,PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit,056052,27350 TAMPA AVENUE,HAYWARD,94544,2017-02-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-03-24,3,N,Y,2020-02-01,27350 TAMPA AVE,94544,HAYWARD,2017,1
33,PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit,056052,27350 TAMPA AVENUE,HAYWARD,94544,2017-09-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-10-06,3,Y,Y,2020-02-01,27350 TAMPA AVE,94544,HAYWARD,2017,1
34,"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit,555341,22103 REDWOOD ROAD,CASTRO VALLEY,94546,2019-01-17,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS NO PLAN OF CORRECTION",,1,Y,N,2020-02-01,22103 REDWOOD RD,94546,CASTRO VALLEY,2019,0
34,"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit,555341,22103 REDWOOD ROAD,CASTRO VALLEY,94546,2017-12-21,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-01-21,2,Y,N,2020-02-01,22103 REDWOOD RD,94546,CASTRO VALLEY,2017,1
34,"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit,555341,22103 REDWOOD ROAD,CASTRO VALLEY,94546,2016-12-07,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2016-12-29,3,Y,N,2020-02-01,22103 REDWOOD RD,94546,CASTRO VALLEY,2016,1
35,REDWOOD HEALTHCARE CENTER LLC,Alameda,CA,For profit,555499,3145 HIGH STREET,OAKLAND,94619,2019-01-10,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-02-10,1,Y,N,2020-02-01,3145 HIGH ST,94619,OAKLAND,2019,1
35,REDWOOD HEALTHCARE CENTER LLC,Alameda,CA,For profit,555499,3145 HIGH STREET,OAKLAND,94619,2017-12-07,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-01-07,2,Y,N,2020-02-01,3145 HIGH ST,94619,OAKLAND,2017,1
36,SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit,056345,368 JUANA AVENUE,SAN LEANDRO,94577,2019-03-28,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-04-10,1,Y,N,2020-02-01,368 JUANA AVE,94577,SAN LEANDRO,2019,1
36,SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit,056345,368 JUANA AVENUE,SAN LEANDRO,94577,2018-02-23,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-03-23,2,Y,N,2020-02-01,368 JUANA AVE,94577,SAN LEANDRO,2018,1
36,SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit,056345,368 JUANA AVENUE,SAN LEANDRO,94577,2017-02-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-03-03,3,Y,N,2020-02-01,368 JUANA AVE,94577,SAN LEANDRO,2017,1
37,WASHINGTON CENTER,Alameda,CA,For profit,056121,14766 WASHINGTON AVENUE,SAN LEANDRO,94578,2019-05-10,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-05-22,1,N,Y,2020-02-01,14766 WASHINGTON AVE,94578,SAN LEANDRO,2019,1
37,WASHINGTON CENTER,Alameda,CA,For profit,056121,14766 WASHINGTON AVENUE,SAN LEANDRO,94578,2018-03-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-04-08,2,Y,N,2020-02-01,14766 WASHINGTON AVE,94578,SAN LEANDRO,2018,1
38,WINDSOR HEALTHCARE CENTER OF OAKLAND,Alameda,CA,For profit,056280,2919 FRUITVALE AVE,OAKLAND,94602,2016-12-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-01-27,3,Y,N,2020-02-01,2919 FRUITVALE AVE,94602,OAKLAND,2016,1
39,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,Alameda,CA,For profit,555398,25919 GADING ROAD,HAYWARD,94544,2019-04-11,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-05-11,1,Y,N,2020-02-01,25919 GADING RD,94544,HAYWARD,2019,1
39,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,Alameda,CA,For profit,555398,25919 GADING ROAD,HAYWARD,94544,2018-05-17,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-08,2,Y,N,2020-02-01,25919 GADING RD,94544,HAYWARD,2018,1
39,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,Alameda,CA,For profit,555398,25919 GADING ROAD,HAYWARD,94544,2017-05-11,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-06-15,3,Y,N,2020-02-01,25919 GADING RD,94544,HAYWARD,2017,1
40,"ORINDA CARE CENTER, LLC",Contra Costa,CA,For profit,055775,11 ALTARINDA ROAD,ORINDA,94563,2017-08-31,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-09-29,3,Y,N,2020-02-01,11 ALTARINDA RD,94563,ORINDA,2017,1
41,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,Fresno,CA,Non profit,055846,5551 N. FRESNO ST,FRESNO,93710,2019-03-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-03-15,1,Y,N,2020-02-01,5551 N FRESNO ST,93710,FRESNO,2019,1
42,SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,Kern,CA,For profit,056294,3601 SAN DIMAS,BAKERSFIELD,93301,2019-04-29,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-05-09,1,N,Y,2020-02-01,3601 SAN DIMAS,93301,BAKERSFIELD,2019,1
42,SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,Kern,CA,For profit,056294,3601 SAN DIMAS,BAKERSFIELD,93301,2019-01-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-02-26,1,Y,Y,2020-02-01,3601 SAN DIMAS,93301,BAKERSFIELD,2019,1
