abv,rep
LOCKS,LOCKS
LDG,LODGE
LDGE,LODGE
LODG,LODGE
LODGE,LODGE
LOOP,LOOP
LOOPS,LOOP
MALL,MALL
MNR,MANOR
MANOR,MANOR
MANORS,MANORS
MNRS,MANORS
MEADOW,MEADOW
MDW,MEADOWS
MDWS,MEADOWS
MEADOWS,MEADOWS
MEDOWS,MEADOWS
MEWS,MEWS
MILL,MILL
MILLS,MILLS
MISSN,MISSION
MSSN,MISSION
MOTORWAY,MOTORWAY
MNT,MOUNT
MT,MOUNT
MOUNT,MOUNT
MNTAIN,MOUNTAIN
MNTN,MOUNTAIN
MOUNTAIN,MOUNTAIN
MOUNTIN,MOUNTAIN
MTIN,MOUNTAIN
MTN,MOUNTAIN
MNTNS,MOUNTAINS
MOUNTAINS,MOUNTAINS
NCK,NECK
NECK,NECK
ORCH,ORCHARD
ORCHARD,ORCHARD
ORCHRD,ORCHARD
OVAL,OVAL
OVL,OVAL
OVERPASS,OVERPASS
PARK,PARK
PRK,PARK
PARKS,PARKS
PARKWAY,PARKWAY
PARKWY,PARKWAY
PKWAY,PARKWAY
PKWY,PARKWAY
PKY,PARKWAY
PARKWAYS,PARKWAYS
PKWYS,PARKWAYS
PASS,PASS
PASSAGE,PASSAGE
PATH,PATH
PATHS,PATH
PIKE,PIKE
PIKES,PIKE
PINE,PINE
PINES,PINES
PNES,PINES
PL,PLACE
PLAIN,PLAIN
PLN,PLAIN
PLAINS,PLAINS
PLNS,PLAINS
PLAZA,PLAZA
PLZ,PLAZA
PLZA,PLAZA
POINT,POINT
PT,POINT
POINTS,POINTS
PTS,POINTS
PORT,PORT
PRT,PORT
PORTS,PORTS
PRTS,PORTS
PR,PRAIRIE
PRAIRIE,PRAIRIE
PRR,PRAIRIE
RAD,RADIAL
RADIAL,RADIAL
RADIEL,RADIAL
RADL,RADIAL
RAMP,RAMP
RANCH,RANCH
RANCHES,RANCH
RNCH,RANCH
RNCHS,RANCH
RAPID,RAPID
RPD,RAPID
RAPIDS,RAPIDS
RPDS,RAPIDS
REST,REST
RST,REST
RDG,RIDGE
RDGE,RIDGE
RIDGE,RIDGE
RDGS,RIDGES
RIDGES,RIDGES
RIV,RIVER
RIVER,RIVER
RVR,RIVER
RIVR,RIVER
RD,ROAD
ROAD,ROAD
ROADS,ROADS
RDS,ROADS
ROUTE,ROUTE
ROW,ROW
RUE,RUE
RUN,RUN
SHL,SHOAL
SHOAL,SHOAL
SHLS,SHOALS
SHOALS,SHOALS
SHOAR,SHORE
SHORE,SHORE
SHR,SHORE
SHOARS,SHORES
SHORES,SHORES
SHRS,SHORES
SKYWAY,SKYWAY
SPG,SPRING
SPNG,SPRING
SPRING,SPRING
SPRNG,SPRING
SPGS,SPRINGS
SPNGS,SPRINGS
SPRINGS,SPRINGS
SPRNGS,SPRINGS
SPUR,SPUR
SPURS,SPURS
SQ,SQUARE
SQR,SQUARE
SQRE,SQUARE
SQU,SQUARE
SQUARE,SQUARE
SQRS,SQUARES
SQUARES,SQUARES
STA,STATION
STATION,STATION
STATN,STATION
STN,STATION
STRA,STRAVENUE
STRAV,STRAVENUE
STRAVEN,STRAVENUE
STRAVENUE,STRAVENUE
STRAVN,STRAVENUE
STRVN,STRAVENUE
STRVNUE,STRAVENUE
STREAM,STREAM
STREME,STREAM
STRM,STREAM
STREET,STREET
STRT,STREET
ST,STREET
STR,STREET
STREETS,STREETS
SMT,SUMMIT
SUMIT,SUMMIT
SUMITT,SUMMIT
SUMMIT,SUMMIT
TER,TERRACE
TERR,TERRACE
TERRACE,TERRACE
THROUGHWAY,THROUGHWAY
TRACE,TRACE
TRACES,TRACE
TRCE,TRACE
TRACK,TRACK
TRACKS,TRACK
TRAK,TRACK
TRK,TRACK
TRKS,TRACK
TRAFFICWAY,TRAFFICWAY
TRAIL,TRAIL
TRAILS,TRAIL
TRL,TRAIL
TRLS,TRAIL
TRAILER,TRAILER
TRLR,TRAILER
TRLRS,TRAILER
TUNEL,TUNNEL
TUNL,TUNNEL
TUNLS,TUNNEL
TUNNEL,TUNNEL
TUNNELS,TUNNEL
TUNNL,TUNNEL
TRNPK,TURNPIKE
TURNPIKE,TURNPIKE
TURNPK,TURNPIKE
UNDERPASS,UNDERPASS
UN,UNION
UNION,UNION
UNIONS,UNIONS
VALLEY,VALLEY
VALLY,VALLEY
VLLY,VALLEY
VLY,VALLEY
VALLEYS,VALLEYS
VLYS,VALLEYS
VDCT,VIADUCT
VIA,VIADUCT
VIADCT,VIADUCT
VIADUCT,VIADUCT
VIEW,VIEW
VW,VIEW
VIEWS,VIEWS
VWS,VIEWS
VILL,VILLAGE
VILLAG,VILLAGE
VILLAGE,VILLAGE
VILLG,VILLAGE
VILLIAGE,VILLAGE
VLG,VILLAGE
VILLAGES,VILLAGES
VLGS,VILLAGES
VILLE,VILLE
VL,VILLE
VIS,VISTA
VIST,VISTA
VISTA,VISTA
VST,VISTA
VSTA,VISTA
WALK,WALK
WALKS,WALKS
WALL,WALL
WY,WAY
WAY,WAY
WAYS,WAYS
WELL,WELL
WELLS,WELLS
WLS,WELLS
