agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE HOSPITAL, INC.",COOPERATIVE AGREEMENT (B),M,78,54,23035023
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC.",PROJECT GRANT (B),M,75,62,25602704
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,VANDERBILT UNIVERSITY MEDICAL CENTER,COOPERATIVE AGREEMENT (B),O,75,26,25201635
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"RIVERSIDE HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,74,1,490330
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CEDARS-SINAI MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,73,44,26321786
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),O,71,61,14990602
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"ROCHESTER GENERAL HOSPITAL, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,67,3,1568232.79
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,BOSTON MEDICAL CENTER CORPORATION,PROJECT GRANT (B),M,67,45,17755759
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,SEATTLE CHILDREN'S HOSPITAL,COOPERATIVE AGREEMENT (B),M,62,33,21615787
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC.",COOPERATIVE AGREEMENT (B),M,56,35,36913367
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,PROJECT GRANT (B),M,54,39,9919678
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,THE MIRIAM HOSPITAL,PROJECT GRANT (B),M,54,28,14549946
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MCLEAN HOSPITAL CORPORATION, THE",COOPERATIVE AGREEMENT (B),M,52,35,9557292
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,RUSH UNIVERSITY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,51,2,181129.41
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),H,50,40,12543087
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MCLEAN HOSPITAL CORPORATION, THE",PROJECT GRANT (B),M,48,36,13556036
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",COOPERATIVE AGREEMENT (B),X,47,28,20245502
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,KETTERING MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,45,4,797975
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CHILDRENS HOSPITAL LOS ANGELES,PROJECT GRANT (B),M,43,31,9613811
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,AULTMAN HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,41,2,395867
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",PROJECT GRANT (B),X,40,5,6495946
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"TUFTS MEDICAL CENTER, INC.",PROJECT GRANT (B),M,40,31,13342233
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,MUHLENBERG REGIONAL MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",Q,38,3,829356.51
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,BARNES-JEWISH HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,36,3,941450
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,VIETNAM NATIONAL LUNG HOSPITAL,PROJECT GRANT (B),W,34,1,893107
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),H,34,17,4403206
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RHODE ISLAND HOSPITAL,COOPERATIVE AGREEMENT (B),M,33,17,12545841
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CHILDRENS HOSPITAL LOS ANGELES,COOPERATIVE AGREEMENT (B),M,32,15,9312103
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"METHODIST MEDICAL CENTER OF ILLINOIS, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,31,3,1308807
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,ST. LUKE'S REGIONAL MEDICAL CENTER OF SIOUX CITY,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,30,4,446893.24
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,BOSTON MEDICAL CENTER CORPORATION,COOPERATIVE AGREEMENT (B),M,29,18,34877052
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,THE HEALTH & HOSPITAL CORP OF MARION COUNTY,PROJECT GRANT (B),X,28,8,11916636
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,DALLAS COUNTY HOSPITAL DISTRICT,PROJECT GRANT (B),X,27,12,7912897
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"HOSPITAL FOR SPECIAL SURGERY FUND, INC., THE",PROJECT GRANT (B),M,27,20,6906357
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"METHODIST HOSPITAL, THE",COOPERATIVE AGREEMENT (B),M,27,15,7337824
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,COOPERATIVE AGREEMENT (B),M,27,11,15336972
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"COMMUNITY MEDICAL CENTERS, INC.",PROJECT GRANT (B),X,26,6,10831790
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"METHODIST HOSPITAL, THE",PROJECT GRANT (B),M,26,25,12743957
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"DLP CONEMAUGH MEMORIAL MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,24,4,188204
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"SAINT LUKE'S HOSPITAL OF BETHLEHEM, PENNSYLVANIA","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,24,3,385583
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,MONTEFIORE MEDICAL CENTER,PROJECT GRANT (B),M,24,12,7882792
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,ST. PETER'S HOSPITAL COLLEGE OF NURSING,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,23,1,187498
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,COMANCHE COUNTY HOSPITAL AUTHORITY,PROJECT GRANT (B),X,23,5,4715181
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE HOSPITAL, INC.",PROJECT GRANT (B),M,23,19,3463773
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,ST JOSEPH HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,22,3,109599.87
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),M,21,8,3220233
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"CHILDREN'S MERCY HOSPITAL, THE",PROJECT GRANT (B),M,21,15,6919341
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,GENEVA GENERAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,20,4,156590
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,SAMARITAN HOSPITAL SCHOOL OF NURSING ALUMNI INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,20,1,237924.82
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BROOKLYN PLAZA MEDICAL CENTER,PROJECT GRANT (B),X,20,7,6899898
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RUSH UNIVERSITY MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,20,10,7939379
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),M,19,3,43792691
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BOSTON MEDICAL CENTER CORPORATION,PROJECT GRANT (B),X,19,10,2513692
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,RICHLAND MEDICAL CENTER INC,PROJECT GRANT (B),X,19,6,2728076
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BEXAR COUNTY HOSPITAL DISTRICT,PROJECT GRANT (B),X,18,4,7321096.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,ERIE COUNTY MEDICAL CENTER CORP.,PROJECT GRANT (B),X,18,7,1566285
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"LITTLE RIVER MEDICAL CENTER, INC.",PROJECT GRANT (B),X,18,7,9970907.14
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,BATON ROUGE GENERAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,17,4,206255
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,MONTEFIORE NEW ROCHELLE HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,17,3,174714
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"ALLIANCE MEDICAL CENTER, INC.",PROJECT GRANT (B),X,17,5,4220008
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,NORTH BROWARD HOSPITAL DISTRICT,PROJECT GRANT (B),X,17,5,4262735
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"RAINELLE MEDICAL CENTER, INC.",PROJECT GRANT (B),X,17,4,1749053
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),INDIAN HEALTH SERVICE,"FORT DEFIANCE INDIAN HOSPITAL BOARD, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",K,17,1,91691381.32
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"BELLIN MEMORIAL HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,16,3,313195
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"BROAD TOP AREA MEDICAL CENTER, INC., THE",PROJECT GRANT (B),X,16,5,3143341
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,REGIONAL MEDICAL CENTER AT LUBEC ME INC,PROJECT GRANT (B),X,16,5,2290735
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,VANDERBILT UNIVERSITY MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,16,5,5562060
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",PROJECT GRANT (B),M,16,5,5394671
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,COOPERATIVE AGREEMENT (B),M,16,8,5576149
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,PROJECT GRANT (B),X,15,6,3880192
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,NEIGHBORHOOD MEDICAL CENTER INC.,PROJECT GRANT (B),X,15,6,2711226
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,NEW HANOVER REGIONAL MEDICAL CENTER,PROJECT GRANT (B),X,15,4,846769
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,PROJECT GRANT (B),M,15,13,4536975
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"BROCKTON HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,14,2,425077
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"JEFFERSON HOSPITAL ASSOCIATION, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,14,2,189973
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,ST. JOSEPH'S HOSPITAL HEALTH CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,14,2,460558.87
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),ADMINISTRATION FOR CHILDREN AND FAMILIES,"NEW YORK FOUNDLING HOSPITAL, THE",PROJECT GRANT (B),M,14,7,33051527
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BEXAR COUNTY HOSPITAL DISTRICT,COOPERATIVE AGREEMENT (B),X,14,3,2025265
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,EZRA MEDICAL CENTER,PROJECT GRANT (B),X,14,4,3862145
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"GOSHEN MEDICAL CENTER, INC.",PROJECT GRANT (B),X,14,5,11581118
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC.",PROJECT GRANT (B),X,14,5,3909966
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"OPEN DOOR FAMILY MEDICAL CENTER, INC.",PROJECT GRANT (B),X,14,7,8293056
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"OUTPATIENT MEDICAL CENTER, INC.",PROJECT GRANT (B),X,14,4,3447195
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,TRENTON MEDICAL CENTER INC,PROJECT GRANT (B),X,14,4,8761967
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),INDIAN HEALTH SERVICE,BENEWAH MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",K,14,1,14899690
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,MISSOURI HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,14,1,3824739
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,K'IMA:W MEDICAL CENTER,PROJECT GRANT (B),I,14,5,1535310
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,CENTRAL MAINE MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,13,2,470881.08
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"HOLY NAME MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,13,3,225609
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,LEWISTOWN HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,13,3,69171
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,THE HEALTH & HOSPITAL CORP OF MARION COUNTY,PROJECT GRANT (B),X,13,3,1312831
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CATAHOULA PARISH HOSPITAL DISTRICT # 2,PROJECT GRANT (B),X,13,5,3150069
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,FLOATING HOSPITAL INCORPORATED (THE),PROJECT GRANT (B),M,13,3,4630487
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"MCKINNEY MEDICAL CENTER, INC.",PROJECT GRANT (B),X,13,5,4987762
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,SHINGLETOWN MEDICAL CENTER,PROJECT GRANT (B),X,13,4,1489104
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER,PROJECT GRANT (B),M,13,5,1273690
