award_id,agency_name,sub_agency,action_date,mod_date,mod_number,fed_obligate,covid_outlay,covid_obligate,covid_code,n_code,recipient,city,state,place_zip,non_profit,hospital_flag,naics_description,award_type,award_desc,permalink,file
15B12120PVB250310,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T10:38:32Z,P00002,-2000,NA,NA,Q,1,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC.",MORGANTOWN,WV,265061200,FALSE,TRUE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,EMERGENCY HOSPITAL SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250310_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250134,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:48:16Z,P00001,-4660,NA,NA,Q,1,"NORTHSTAR ANESTHESIA OF WEST VIRGINIA, PLLC",IRVING,TX,750382241,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OTHER FUNCTIONS INPATIENT AND OUTPATIENT SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250134_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250035,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:52:31Z,P00001,-40152.26,NA,NA,Q,1,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC.",MORGANTOWN,WV,265061200,FALSE,TRUE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OTHER FUNCTIONS INPATIENT AND OUTPATIENT SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250035_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250069,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:45:13Z,P00001,-15409,NA,NA,Q,1,WEST VIRGINIA UNIV MED CORP,MORGANTOWN,WV,265088803,TRUE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,EMERGENCY HOSPITAL SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250069_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250060,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:44:09Z,P00002,-18521.75,NA,NA,Q,1,WEST VIRGINIA UNIV MED CORP,MORGANTOWN,WV,265088803,TRUE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OTHER FUNCTIONS INPATIENT AND OUTPATIENT SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250060_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250034,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:42:43Z,P00001,-4915.48,NA,NA,Q,1,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC.",MORGANTOWN,WV,265061200,FALSE,TRUE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OTHER FUNCTIONS INPATIENT AND OUTPATIENT SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250034_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270021,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T10:56:52Z,P00002,-156329.9,NA,NA,Q,1,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016050002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: AUGUST 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270021_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250359,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T10:19:29Z,P00001,-5210,NA,NA,Q,1,UNIVERSITY OF PITTSBURGH PHYSICIANS,PITTSBURGH,PA,152132536,TRUE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,CATASTROPHIC SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250359_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270022,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T07:42:03Z,P00001,-115574.92,NA,NA,Q,1,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016050002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: AUGUST 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270022_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15BDUB20FVB210001,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-12T13:23:42Z,P00006,190.07,NA,NA,Q,1,"INTEGRATED MEDICAL SOLUTIONS, INC",MANSFIELD,TX,945683305,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,BPA CALL,COMPREHENSIVE MEDICAL SERVICES FOR FCI DUBLIN,https://www.usaspending.gov/award/CONT_AWD_15BDUB20FVB210001_1540_DJBP0602BPA16003_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210006,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:18:30Z,P00001,-170000,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF MARCH FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210006_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210005,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:09:23Z,P00001,-180000,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF FEBRUARY FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210005_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210001,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T09:44:09Z,P00001,-157401.46,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF SEPTEMBER FY19.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210001_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210002,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:02:13Z,P00001,-113520.85,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF NOVEMBER FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210002_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210003,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:46:20Z,P00003,-186000,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF DECEMBER FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210003_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210007,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:29:37Z,P00001,-218272.6,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF APRIL FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210007_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210008,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:38:18Z,P00001,-133321.01,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF MAY FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210008_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210004,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:59:57Z,P00001,-170573.61,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF JANUARY FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210004_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15BFTD20PVB210037,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:03:12Z,P00001,-37079.3,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,086400001,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,CONTRACTOR TO PROVIDE OUTSIDE COMPREHENSIVE MEDICAL SERVICES. PERIOD OF PERFORMANCE 02-01-2020 THROUGH 07-06-2020.,https://www.usaspending.gov/award/CONT_AWD_15BFTD20PVB210037_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15BFTD20PVB210029,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:31:59Z,P00005,-105335.25,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,086400038,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,"MODIFICATION IS AS FOLLOWS:  CHANGE PERIOD OF PERFORMANCE TO JANUARY 1, 2020 - JANUARY 8, 2020.  NO OTHER CHANGES ARE NEEDED AT THIS TIME.",https://www.usaspending.gov/award/CONT_AWD_15BFTD20PVB210029_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270018,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:15:37Z,P00003,-12764.51,152383.61,152383.61,N|Q,2,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016550002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: MAY 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270018_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B30220FVB210070,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T09:47:55Z,A00002,861.89,NA,NA,Q,1,"CORRECT CARE SOLUTIONS, LLC",NASHVILLE,TN,335210001,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,CATASTROPHIC,https://www.usaspending.gov/award/CONT_AWD_15B30220FVB210070_1540_DJBP030200000070_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270019,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:26:22Z,P00002,-22416.31,NA,NA,Q,1,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016550002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: MAY 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270019_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210009,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:45:47Z,P00001,-122677.96,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF JUNE FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210009_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210010,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:54:38Z,P00001,-151918.04,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF JULY FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210010_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210011,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T12:02:20Z,P00001,-125000,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF AUGUST FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210011_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B60820FVB210012,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T12:09:24Z,P00001,-163000,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,352162158,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,"COMPREHENSIVE MEDICAL SERVICES FOR FCI PHOENIX, AZ. SERVICE DATES DURING THE MONTH OF SEPTEMBER FY20.",https://www.usaspending.gov/award/CONT_AWD_15B60820FVB210012_1540_15B60818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270020,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T11:36:58Z,P00002,-45839.17,NA,NA,Q,1,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016550002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: JULY 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270020_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
75D30121F00001,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,2021-03-10,2021-03-10T12:30:34Z,P00001,0,NA,499966.55,N,1,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,606123833,TRUE,TRUE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,SHEPHERD 2021 DOMAIN 1-A005 VE,https://www.usaspending.gov/award/CONT_AWD_75D30121F00001_7523_HHSD200201691787I_7523/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B61520FVB230148,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T10:12:03Z,P00001,1000,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,857567540,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,BPA CALL,ESTIMATE FOR SURGERY AT TMC HOSPITAL FOR PRE-TRAIL INMATE AT FCC TUCSON,https://www.usaspending.gov/award/CONT_AWD_15B61520FVB230148_1540_DJBP0615BPA12001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B11920PVB210162,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-10,2021-03-10T14:10:08Z,P00003,657.53,NA,NA,Q,1,"INTEGRATED MEDICAL SOLUTIONS, INC",MANSFIELD,TX,760632721,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,COMPREHENSIVE MEDICAL SERVICES - SEPTEMBER 2020,https://www.usaspending.gov/award/CONT_AWD_15B11920PVB210162_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
